customer_id,audience_segment,audience_status,experiment_group,impressions,clicks,converted,revenue
C000001,Browsers / No Purchase,Eligible,Treatment,2,0,0,0.0
C000002,Lapsing Customers,Eligible,Treatment,2,1,0,0.0
C000003,Browsers / No Purchase,Suppressed,Suppressed,0,0,0,0.0
C000004,New Customers,Eligible,Treatment,3,0,1,106.1
C000005,High-Value Loyalists,Eligible,Treatment,3,0,0,0.0
C000006,Browsers / No Purchase,Eligible,Treatment,5,0,0,0.0
C000007,Browsers / No Purchase,Eligible,Treatment,1,0,0,0.0
C000008,Browsers / No Purchase,Eligible,Treatment,5,1,0,0.0
C000009,High-Value Loyalists,Eligible,Treatment,1,1,0,0.0
C000010,Lapsing Customers,Eligible,Treatment,1,0,0,0.0
C000011,Lapsing Customers,Eligible,Control,0,0,0,0.0
C000012,Browsers / No Purchase,Suppressed,Suppressed,0,0,0,0.0
C000013,New Customers,Eligible,Control,0,0,0,0.0
C000014,Browsers / No Purchase,Suppressed,Suppressed,0,0,0,0.0
C000015,Lapsing Customers,Eligible,Treatment,2,0,0,0.0
C000016,Lapsing Customers,Suppressed,Suppressed,0,0,0,0.0
C000017,New Customers,Eligible,Treatment,1,0,1,175.15
C000018,High-Value Loyalists,Eligible,Treatment,3,0,0,0.0
C000019,Browsers / No Purchase,Eligible,Treatment,3,0,0,0.0
C000020,New Customers,Eligible,Treatment,1,0,0,0.0
C000021,Browsers / No Purchase,Eligible,Control,0,0,0,0.0
C000022,Lapsing Customers,Eligible,Treatment,3,0,0,0.0
C000023,Browsers / No Purchase,Eligible,Treatment,2,0,0,0.0
C000024,Browsers / No Purchase,Suppressed,Suppressed,0,0,0,0.0
C000025,Browsers / No Purchase,Eligible,Treatment,4,1,0,0.0
C000026,High-Value Loyalists,Eligible,Treatment,1,1,1,59.51
C000027,Lapsing Customers,Eligible,Treatment,6,0,0,0.0
C000028,High-Value Loyalists,Eligible,Treatment,3,1,0,0.0
C000029,High-Value Loyalists,Eligible,Treatment,5,1,0,0.0
C000030,New Customers,Eligible,Treatment,4,0,0,0.0
C000031,Browsers / No Purchase,Eligible,Treatment,5,1,0,0.0
C000032,Browsers / No Purchase,Eligible,Treatment,2,0,0,0.0
C000033,Lapsing Customers,Eligible,Treatment,2,0,1,23.18
C000034,Lapsing Customers,Eligible,Treatment,5,0,0,0.0
C000035,Lapsing Customers,Eligible,Treatment,6,0,0,0.0
C000036,High-Value Loyalists,Eligible,Treatment,1,0,0,0.0
C000037,High-Value Loyalists,Eligible,Treatment,1,0,1,72.45
C000038,Lapsing Customers,Eligible,Treatment,3,0,0,0.0
C000039,Lapsing Customers,Eligible,Treatment,2,0,0,0.0
C000040,New Customers,Eligible,Treatment,6,1,0,0.0
C000041,Lapsing Customers,Suppressed,Suppressed,0,0,0,0.0
C000042,Browsers / No Purchase,Eligible,Treatment,1,0,0,0.0
C000043,Browsers / No Purchase,Eligible,Treatment,3,0,0,0.0
C000044,Lapsing Customers,Suppressed,Suppressed,0,0,0,0.0
C000045,Browsers / No Purchase,Eligible,Control,0,0,0,0.0
C000046,Browsers / No Purchase,Eligible,Treatment,4,1,0,0.0
C000047,Lapsing Customers,Eligible,Control,0,0,0,0.0
C000048,Lapsing Customers,Eligible,Treatment,2,1,0,0.0
C000049,New Customers,Eligible,Treatment,4,1,1,32.8
C000050,High-Value Loyalists,Eligible,Treatment,2,0,0,0.0
C000051,High-Value Loyalists,Eligible,Treatment,2,1,0,0.0
C000052,High-Value Loyalists,Eligible,Control,0,0,0,0.0
C000053,Browsers / No Purchase,Suppressed,Suppressed,0,0,0,0.0
C000054,New Customers,Eligible,Treatment,4,0,0,0.0
C000055,Browsers / No Purchase,Eligible,Control,0,0,0,0.0
C000056,Browsers / No Purchase,Eligible,Treatment,5,0,0,0.0
C000057,Lapsing Customers,Eligible,Treatment,2,0,0,0.0
C000058,New Customers,Eligible,Treatment,3,0,0,0.0
C000059,High-Value Loyalists,Eligible,Treatment,5,0,0,0.0
C000060,High-Value Loyalists,Eligible,Control,0,0,1,42.6
C000061,New Customers,Suppressed,Suppressed,0,0,0,0.0
C000062,Lapsing Customers,Eligible,Treatment,6,2,0,0.0
C000063,New Customers,Eligible,Treatment,5,0,0,0.0
C000064,Browsers / No Purchase,Eligible,Treatment,6,1,0,0.0
C000065,New Customers,Eligible,Treatment,2,0,0,0.0
C000066,New Customers,Eligible,Treatment,4,0,0,0.0
C000067,New Customers,Eligible,Treatment,3,0,0,0.0
C000068,Lapsing Customers,Eligible,Treatment,4,0,1,46.91
